언론사,언론사url,언론사로고url,날짜,기사명,섹션,본문,본문url,회사명,회사종류,좋아요,추천반응수,댓글 수,첫번째이미지url,요약문,키워드1,키워드2,키워드3,키워드4
아시아경제,https://www.asiae.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/277/2017/12/27/logo_277_38_20171227165227.png,2022-02-16 10:47,연초부터 투자 쏟아내는 글로벌 파운드리 업계…주도권 잡기 싸움,경제,TSMC 구마모토 공장 건설 투자 증액 1조9000억원 더 투입 인텔 6조5000억원에 타워세미컨덕터 인수 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0005045266,삼성전자,IDM,1,471,2,https://imgnews.pstatic.net/image/277/2022/02/16/0005045266_001_20220216112403193.jpg?type=w647,글로벌 파운드리 반도체 위탁생산 업계가 연초부터 잇따른 투자 발표로 들썩이고 있으며 수급 부족이 올해도 지속될 것으로 전망되는 가운데 업계를 장악하고 있는 대만 TSMC와 삼성전자는 물론 후발주자로 다시 뛰어든 인텔까지 공격적으로 몸집을 키우며 시장 주도권 싸움에서 승기를 잡기 위해 달려드는 모습이고 15일 인텔은 반도체 파운드리 업체인 타워세미컨덕터를 주당 53달러로 총 54억달러 약 6조5000억원 에 인수한다고 밝혔다.,#반도체,#파운드리,#투자,#인텔
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 7:37,SK하이닉스 12% 반등하는 동안…힘 못 쓴 '국민주',경제,삼성전자 올해 저점 대비 3.37 오르는 데 그쳐 WD 키옥시아 합작 공장 생산차질 훈풍도 비켜가 이미 메모,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664116,하이닉스,IDM,3,223,20,https://imgnews.pstatic.net/image/015/2022/02/16/0004664116_001_20220216073701158.jpg?type=w647,"국내 증시 대장주 삼성전자가 좀처럼 7만원대를 벗어나지 못하고 있는 가운데, SK하이닉스가 지난달 말의 저점 대비 12 가깝게 반등하는 동안 삼성전자는 4 도 회복하지 못했으며, 증권가에서는 이미 메모리반도체 시장의 최강자인 삼성전자가 새로운 성장 동력을 보여주지 못한 탓이라는 지적이 나온다.",#삼성전자,#하이닉스,#반도체,#성장
연합뉴스,https://www.yna.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/001/2017/12/18/logo_001_38_20171218155018.png,2022-02-16 14:55,한자리 모인 반도체업계 대표들,IT, 서울 연합뉴스 이지은 기자 반도체산업협회장인 이정배 삼성전자 사장 왼쪽 과 이석희 SK하이닉스 사장 왼쪽 ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=001&aid=0012990296,하이닉스,IDM,1,979,0,https://imgnews.pstatic.net/image/001/2022/02/16/PYH2022021620100001300_P4_20220216145513607.jpg?type=w647,16일 롯데호텔에서 열린 반도체 투자 활성화를 위한 기업 간담회에서 반도체기업 대표들은 문승욱 산업통상자원부 장관의 2022.2.16 jieunlee  장관의 발언을 듣고 2022.2.16 jieunlee   장관의 발언을 듣고 2022.2.16 jieunlee   jieunlee  2022.2.16 jieunlee    2022.2.16 jieunlee                                 ,#반도체,#기업,#왼쪽,#사장
전자신문,http://www.etnews.com/,https://mimgnews.pstatic.net/image/upload/office_logo/030/2017/12/27/logo_030_38_20171227162327.png,2022-02-16 12:39,"[스페셜리포트]반도체 업계, M&A 성장 전략 여전히 유효",IT,SK하이닉스 키파운드리 전격 인수 AMD 자일링스 500억달러에 사들여 ADI 등 아날로그 반도체 M A 활,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002999047,하이닉스,IDM,0,167,0,https://imgnews.pstatic.net/image/030/2022/02/16/0002999047_001_20220216174601170.jpg?type=w647,반도체 시장이 급성장하면서 주도권을 선점하려는 반도체 기업의 각축전이 한창이고 반도체 팹리스와 종합반도체기업 IDM 은 신사업 진출로 성장 동력을 확보 미래 먹거리 발굴에 나서고 있고 급증하는 시장 수요 생산 능력 확대로 대응 반도체 시장은 쩐의 전쟁 이라고 불릴 만큼 투자가 중요하다.,#반도체,#인수,#시장,#생산
전자신문,http://www.etnews.com/,https://mimgnews.pstatic.net/image/upload/office_logo/030/2017/12/27/logo_030_38_20171227162327.png,2022-02-16 15:11,세계 반도체 매출 5000억달러 ↑,IT,5559억달러 전년 26.2 시스템 메모리 부문 고른 성장 삼성 SK하이닉스 등 최대 실적 대규모 M A 공,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002999118,하이닉스,IDM,31,201,11,https://imgnews.pstatic.net/image/030/2022/02/16/0002999118_001_20220217090203470.jpg?type=w647,"지난해 세계 반도체 매출이 5559억달러로 사상 최대를 기록했는데, 이는 전년 대비 26.2 증가한 수치로 시스템과 메모리 반도체가 골고루 성장했기 때문으로 한국반도체산업협회가 국내 기업 투자 계획을 조사한 결과 올해 민간 반도체의 총 투자 금액은 56조7000억원으로 나타났다.",#반도체,#매출,#투자,#기업
이코노미스트,https://jmagazine.joins.com/economist?cloc=joongang-home-jmnet,https://mimgnews.pstatic.net/image/upload/office_logo/243/2017/12/27/logo_243_38_20171227165027.png,2022-02-16 19:01,“삼성전자 1만원어치 주세요” 9월부터 국내주식 소수점 거래,경제,금융위원회 혁신금융서비스 지정 금융위원회가 16일 국내주식 소수점 거래를 혁신금융서비스로 지정했다. 중앙포토,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=243&aid=0000022942,삼성전자,IDM,20,434,60,https://imgnews.pstatic.net/image/243/2022/02/16/0000022942_001_20220217073501470.jpg?type=w647,16일 금융위원회는 국내주식 소수점 거래는 여러 개의 수익증권으로 분할 발행해 온주 1주 를 여러 개의 수익증권으로 분할 발행해 국내주식을 소수단위로 거래할 수 있도록 한 서비스로 투자자가 종목당 최소투자금액의 인하로 주식투자 접근성이 커지고 소규모 투자금으로 위험관리와 수익다변화를 위한 다양한 포트폴리오를 효율적으로 구성할 수 있을 것 이라고 평가하고 혁신금융서비스로 지정했다.,#증권,#투자,#금융,#주식
서울경제,http://www.sedaily.com/,https://mimgnews.pstatic.net/image/upload/office_logo/011/2017/12/27/logo_011_38_20171227161527.png,2022-02-16 9:17,[특징주] 美 반도체株 온기 전해진 삼전·SK하닉 장초반 강세,경제,서울 서초구 삼성전자 서초사옥의 모습. 오승현 기 서울경제 삼성전자 005930 와 SK하이닉스 000660,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004019281,하이닉스,IDM,0,498,2,https://imgnews.pstatic.net/image/011/2022/02/16/0004019281_001_20220216091701058.jpg?type=w647,미국 뉴욕증시에 반도체 관련주가 급등한 데 따라 삼성전자 005930 와 SK하이닉스 000660 가 간밤 미국 뉴욕 증시 반도체주 급등의 온기를 받아 장초반 상승세이며 삼성전자와 SK하이닉스 등 국내 반도체 대장주가 상승세를 탄 것은 미국 뉴욕증시에 반도체 관련주가 급등한 데 따른 것으로 추정된다.,#반도체,#뉴욕,#증시,#주가
이데일리,http://www.edaily.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/018/2017/12/27/logo_018_38_20171227161627.png,2022-02-16 9:42,"[특징주]반도체주 강세…""우크라이나 우려 완화에 투심↑""",경제, 이데일리 이은정 기자 반도체주가 강세다. 간밤 미 증시에서 반도체 업종은 우크라이나 사태 우려 완화 분위기,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005147643,하이닉스,IDM,0,323,0,none,반도일 업종은 우크라이나 사태 우려 완화 분위기에 상승했고 필라델피아 반도체 지수도 5 대 급등했으며 서상영 미래에셋증권 연구원은 우크라이나 우려가 완화되자 반도체 업종이 급등했다 며 간밤 미 증시 장중 영국 총리의 우크라이나 긴장을 높이는 발언과 미국 대통령가 러시아 철군은 검증하지 못했다고 주장해 변화가 지속됐지만 긍정적인 흐름이 이어졌다 고 말했다.,#반도체,#완화,#우려,#거래
조선비즈,http://biz.chosun.com/,https://mimgnews.pstatic.net/image/upload/office_logo/366/2017/12/27/logo_366_38_20171227165527.png,2022-02-16 9:25,[특징주] 미국發 훈풍에 삼성전자 등 반도체株 강세,경제,삼성전자 005930 와 SK하이닉스 000660 등 반도체주가 장 초반 상승하고 있다. 전날 미국에서 반도,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000793993,하이닉스,IDM,1,600,2,https://imgnews.pstatic.net/image/366/2022/02/16/0000793993_001_20220216092505118.jpg?type=w647,16일 오전 9시 12분 기준 삼성전자의 주가는 전날보다 1.22 오른 7만4500원을 기록하며 4거래일 만에 반등하고있고 같은 시각 SK하이닉스는 전날보다 3.54 오른 13만1500원에 거래되고 있으며 우크라이나 접경 지역에 주둔하던 러시아군 일부가 철수하며 긴장장 완화된 가운데 전날 미국에서는 반도체주가 상승했다.,#주가,#전날,#삼성전자,#반도체
한국경제,http://www.hankyung.com/,https://mimgnews.pstatic.net/image/upload/office_logo/015/2017/12/27/logo_015_38_20171227161527.png,2022-02-16 15:25,SK하이닉스 D램·낸드 공격 투자…10년새 시총 13조 → 100조,경제,Cover Story SK하이닉스 최태원 회장의 선견지명 SK 간판 달고 10년간 급성장 적기 투자로 영업익,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004664339,하이닉스,IDM,5,160,2,https://imgnews.pstatic.net/image/015/2022/02/16/0004664339_001_20220216152501055.jpg?type=w647,"SK하이닉스는 SK그룹 편입 10년만에 연간 10조원 이상의 영업이익을 창출하는 대표선수이자 대한민국을 상징하는 기업으로 발돋움했는데, 반도체업계가 슈퍼 사이클에 돌입한 2017년부터 본격적으로 세금을 납부하기 시작했고 2018년엔 세금 납부액이 더 늘었다.",#하이닉스,#기업,#인수,#그룹
노컷뉴스,http://www.nocutnews.co.kr/,https://mimgnews.pstatic.net/image/upload/office_logo/079/2017/12/27/logo_079_38_20171227163027.png,2022-02-16 9:08,"인텔, 파운드리 '타워 세미컨덕터' 인수…삼성전자 추격한다",경제,핵심요약 인텔은 이스라엘 파운드리 업체 타워의 주식을 주당 53달러에 전량 현금 매입하기로 합의했다고 15일,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=079&aid=0003609809,삼성전자,IDM,1,45,9,https://imgnews.pstatic.net/image/079/2022/02/16/0003609809_001_20220216090801279.jpg?type=w647,핵텔은 이스라엘 파운드리 업체 타워의 주식을 주당 53달러에 전량 현금 매입하기로 합의했다고 15일 현지시간 공식 발표했는데 이는 60의 프리미엄을 붙인 가격이며 인텔이 이스라엘의 업체 타워 세미컨덕터를 54억달러 약 6조4640억원 에 인수한다.,#파운드리,#인텔,#달러,#타워
전자신문,http://www.etnews.com/,https://mimgnews.pstatic.net/image/upload/office_logo/030/2017/12/27/logo_030_38_20171227162327.png,2022-02-16 12:39,"[스페셜리포트]반도체 M&A, 불확실성 리스크 회피 필요",IT,글로벌 반도체 인수합병 M A 시장에 불확실성은 상존한다. 세계 각국 반도체 패권 경쟁은 기업에는 위험 요인,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002999046,하이닉스,IDM,1,878,0,https://imgnews.pstatic.net/image/030/2022/02/16/0002999046_001_20220216160401176.jpg?type=w647,"세계 반도체 인수합병 M A 시장에 불확실성이 상존하는데, 올해 반도체 시장이 호황을 맞은 만큼 위험 요인을 회피해야 M A 성공 사례를 만들 수 있다는 분석이 나오고, 중국이 반도체 M A 시장에 명확한 조건을 제시하지 않으면서 조건부 합의 등 중국 당국 움직임도 예의주시해야 한다는 지적도 나오고 있다.",#인수,#반도체,#기업,#중국
